0:0:0:0:0:0:0:1 - - [18/Mar/2016:14:11:02 +0100] "GET /rfb/angular/templates/toolbarswitch.html HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [18/Mar/2016:14:11:02 +0100] "GET /rfb/angular/templates/editor.html HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [18/Mar/2016:14:11:02 +0100] "GET /rfb/angular/templates/palette.html HTTP/1.1" 200 1739
0:0:0:0:0:0:0:1 - - [18/Mar/2016:14:11:02 +0100] "GET /rfb/angular/templates/toolbar.html HTTP/1.1" 200 2193
0:0:0:0:0:0:0:1 - - [18/Mar/2016:14:11:02 +0100] "GET /rfb/angular/templates/decorators.html HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [18/Mar/2016:14:11:02 +0100] "GET /rfb/angular/images/light-raster-background.png HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [18/Mar/2016:14:11:02 +0100] "GET /rfb/angular/templates/contextmenu.html HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [18/Mar/2016:14:11:02 +0100] "GET /rfb/angular/images/images.jpeg HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [18/Mar/2016:14:11:02 +0100] "GET /rfb/angular/content/editor-content.html?id=%23editor&sessionid=devsession&windowname=categories&f=categories&s=sampleuse_navigation&replacewebsocket=true HTTP/1.1" 200 2867
0:0:0:0:0:0:0:1 - - [18/Mar/2016:14:11:02 +0100] "GET /js/bootstrap-window/css/bootstrap-window.css HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [18/Mar/2016:14:11:02 +0100] "GET /rfb/angular/css/editor-content.css HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [18/Mar/2016:14:11:02 +0100] "GET /css/servoy.css HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [18/Mar/2016:14:11:02 +0100] "GET /css/bootstrap/css/bootstrap.css HTTP/1.1" 200 20400
0:0:0:0:0:0:0:1 - - [18/Mar/2016:14:11:02 +0100] "GET /bootstrapcomponents/table/table.css HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [18/Mar/2016:14:11:02 +0100] "GET /servoydefault/calendar/bootstrap-datetimepicker/css/bootstrap-datetimepicker.css HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [18/Mar/2016:14:11:02 +0100] "GET /servoydefault/calendar/bootstrap-datetimepicker/css/bootstrap-datetimepicker-servoy-extension.css HTTP/1.1" 200 67
0:0:0:0:0:0:0:1 - - [18/Mar/2016:14:11:02 +0100] "GET /servoyextra/treeview/css/skin-win8/ui.fancytree.css HTTP/1.1" 200 6104
